merchant,category,job,age,state,city,amt,is_fraud
"Bahringer, Schoen and Corkery",shopping_pos,Barista,49,CA,Oakland,107.65,0
"Larson, Quitzon and Spence",travel,"Geologist, engineering",66,AZ,Parks,7.5,0
"Douglas, Schneider and Turne",shopping_pos,"Pilot, airline",35,WY,Laramie,7.19,0
"Schoen, Kuphal and Nitzsche",grocery_pos,Chartered public finance accountant,64,CA,San Diego,73.06,0
"Dare, Fritsch and Zboncak",health_fitness,Network engineer,67,CO,Kirk,28.23,0
Cartwright PLC,kids_pets,Teaching laboratory technician,38,WA,Vancouver,21.51,0
Kunze Inc,grocery_pos,"Civil engineer, contracting",68,AZ,Humboldt,96.86,0
Veum-Koelpin,travel,Network engineer,67,CO,Kirk,88.71,0
Brown-Greenholt,entertainment,"Scientist, physiological",59,OR,Eugene,138.09,0
Buckridge PLC,misc_pos,Tax inspector,35,MO,Rocky Mount,3.71,0
Wilkinson LLC,personal_care,Retail merchandiser,95,OR,Sixes,31.43,0
Bailey-Mo,grocery_pos,"Surveyor, minerals",83,NE,Campbell,303.68,1
"Swift, Bradtke and Marquardt",grocery_net,Insurance broker,41,NE,Sutherland,47.06,0
Dickinson Lt,personal_care,Research scientist (maths),95,NE,Howells,45.38,0
Lynch Lt,shopping_pos,Tax inspector,35,MO,Rocky Mount,3122.99,0
"Denesik, Powlowski and Pouros",home,"Lecturer, higher education",30,WY,Riverton,46.3,0
Abbott-Steube,personal_care,Mental health nurse,45,CO,Dumont,71.77,0
"Armstrong, Walter and Gottlieb",food_dining,Barista,49,CA,Oakland,25.84,0
Emard Inc,gas_transport,Public relations account executive,84,CO,Meredith,44.94,0
"Olson, Becker and Koch",gas_transport,Land/geomatics surveyor,38,MO,Arnold,81.37,0
"Little, Gutmann and Lynch",shopping_net,Water engineer,48,CO,Littleton,1.81,0
"Nitzsche, Kessler and Wol",shopping_pos,Special educational needs teacher,45,WA,Orient,4.54,0
Volkman PLC,food_dining,Cytogeneticist,69,MO,Browning,33.35,0
Jakubowski Group,food_dining,Music therapist,39,WY,Rock Springs,53.36,0
McDermott-Weimann,grocery_pos,Insurance broker,41,NE,Sutherland,70.84,0
"Bernier, Volkman and Hoege",misc_net,Music therapist,39,WY,Rock Springs,9.18,0
Harris Group,food_dining,Telecommunications researcher,73,NE,Holstein,26.19,0
Fritsch and Sons,health_fitness,Immigration officer,36,CA,Fiddletown,75.19,0
"Osinski, Ledner and Leuschke",grocery_pos,"Surveyor, land/geomatics",35,NM,Red River,83.11,0
Hudson-Grady,shopping_pos,Public house manager,49,WA,Burlington,276.73,0
"Klocko, Runolfsdottir and Breitenberg",health_fitness,Network engineer,67,CO,Kirk,21.0,0
Cormier LLC,shopping_net,Barrister,87,OR,Cascade Locks,3.72,0
"Schultz, Simonis and Little",grocery_pos,Museum/gallery exhibitions officer,31,CO,Colorado Springs,197.19,0
Bartoletti-Wunsch,gas_transport,Colour technologist,64,MO,Camden,45.6,0
Quitzon-Goyette,home,Forensic psychologist,62,OR,Westfir,184.87,0
Jacobi and Sons,shopping_pos,Aeronautical engineer,44,MO,Matthews,85.4,0
"Armstrong, Walter and Gottlieb",food_dining,Licensed conveyancer,23,NM,Ruidoso,20.75,0
"Nienow, Barrows and Romague",personal_care,Hotel manager,36,CO,Arvada,6.19,0
Fadel Inc,health_fitness,Education administrator,57,CA,Vinton,13.95,0
"Turner, Ziemann and Lehne",food_dining,Occupational psychologist,69,CA,Tomales,37.62,0
Reilly and Sons,health_fitness,Museum/gallery exhibitions officer,31,CO,Colorado Springs,13.24,0
Pfeffer LLC,grocery_net,Investment analyst,49,MO,Redford,46.65,0
Kautzer and Sons,personal_care,Metallurgist,48,NE,Carroll,73.84,0
Ankunding-Carroll,travel,"Therapist, horticultural",47,CA,Huntington Beach,3.32,0
Stracke-Lemke,grocery_pos,Occupational psychologist,69,CA,Tomales,140.01,0
"Streich, Hansen and Veum",gas_transport,"Surveyor, mining",50,NE,Fullerton,67.52,0
Pacocha-O'Reilly,grocery_pos,Radio broadcast assistant,28,OR,Shedd,91.77,0
"Cormier, Stracke and Thiel",entertainment,"Therapist, art",35,NM,Moriarty,15.27,0
Gislason Group,misc_pos,Special educational needs teacher,45,WA,Orient,24.19,0
Shields-Wunsch,health_fitness,"Engineer, automotive",49,NE,Hooper,166.88,0
Beier and Sons,home,Education administrator,57,CA,Vinton,50.49,0
McDermott-Weimann,grocery_pos,Human resources officer,56,NE,Manley,132.51,0
Zulauf LLC,personal_care,Education administrator,57,CA,Vinton,17.27,0
"Durgan, Gislason and Spence",home,"Engineer, building services",60,OR,Portland,8.19,0
Heller PLC,health_fitness,Public house manager,49,WA,Burlington,25.29,0
"Altenwerth, Cartwright and Koss",shopping_net,Osteopath,39,WA,Issaquah,2.57,0
"McCullough, Hudson and Schuste",food_dining,Firefighter,50,CA,Norwalk,50.53,0
Mayert Group,shopping_pos,"Engineer, electronics",56,CO,Broomfield,13.43,0
"Stehr, Jewess and Schimmel",misc_net,Special educational needs teacher,45,WA,Orient,5.34,0
Corwin-Gorczany,misc_net,Public librarian,49,WY,Jelm,4.08,0
Boyer-Reichert,shopping_net,Cartographer,57,ID,Mesa,4.84,0
"Christiansen, Goyette and Schamberge",gas_transport,"Research officer, political party",39,WA,Conway,68.16,0
Schulist Lt,food_dining,Human resources officer,38,CO,Red Cliff,57.89,0
"Hoppe, Harris and Bedn",entertainment,Information systems manager,37,WY,Fort Washakie,15.32,0
"Terry, Johns and Bins",misc_pos,Freight forwarder,47,WY,Fort Washakie,45.93,0
Murray Lt,grocery_net,"Research officer, political party",39,WA,Conway,42.36,0
"Romaguera, Wehner and Tromp",kids_pets,"Research officer, political party",39,WA,Conway,118.35,0
"Ritchie, Oberbrunner and Cremin",travel,Physiotherapist,56,HI,Honokaa,3.41,0
Roob LLC,grocery_net,Insurance broker,44,UT,Woods Cross,39.96,0
Heathcote LLC,shopping_net,Water engineer,48,CO,Littleton,411.05,0
Stiedemann Lt,food_dining,"Designer, exhibition/display",51,CA,Sun City,76.64,0
Bauch-Rayno,grocery_pos,Civil Service fast streamer,40,CA,Azusa,207.52,0
Smitham-Schille,grocery_net,Public house manager,49,WA,Burlington,86.74,0
"Pouros, Walker and Spence",kids_pets,Educational psychologist,42,WY,Manville,47.19,0
Rempel Inc,shopping_net,Intelligence analyst,52,ID,Meridian,7.77,0
Wilkinson PLC,kids_pets,Web designer,40,CA,Smith River,12.9,0
Hamill-Daugherty,misc_net,"Pilot, airline",35,WY,Laramie,7.59,0
"McDermott, Osinski and Mo",home,Systems analyst,77,CA,Grenada,2.3,0
"Bernier, Volkman and Hoege",misc_net,"Nurse, mental health",75,NE,Roseland,896.19,0
"Gutmann, McLaughlin and Wiz",home,Location manager,33,UT,Moab,9.77,0
Bauch-Rayno,grocery_pos,Water engineer,48,CO,Littleton,217.11,0
Stiedemann Inc,misc_pos,Podiatrist,51,CA,Lakeport,29.71,0
"Runolfsdottir, Mueller and Han",entertainment,"Research officer, political party",39,WA,Conway,22.64,0
Botsford and Sons,home,Musician,41,WA,Burbank,198.45,0
Kertzmann LLC,health_fitness,Product designer,88,NE,Westerville,32.67,0
"Robel, Cummerata and Prosacco",gas_transport,Educational psychologist,42,WY,Manville,79.99,0
"Roob, Conn and Tremblay",shopping_pos,Glass blower/designer,53,MO,Williamsburg,131.52,0
"Mante, Luettgen and Hackett",health_fitness,Barrister,87,OR,Cascade Locks,15.33,0
Corwin-Collins,gas_transport,Licensed conveyancer,23,NM,Ruidoso,69.47,0
Brown PLC,misc_net,Intelligence analyst,52,ID,Meridian,45.57,0
Dooley Inc,shopping_pos,Occupational psychologist,69,CA,Tomales,5.54,0
"Reichert, Huels and Hoppe",shopping_net,"Designer, exhibition/display",51,CA,Sun City,10.43,0
Medhurst PLC,shopping_net,Podiatrist,51,CA,Lakeport,457.85,0
Barrows PLC,shopping_pos,Freight forwarder,47,WY,Fort Washakie,132.83,0
O'Keefe-Wisoky,food_dining,"Lecturer, higher education",30,WY,Riverton,12.68,0
Abshire PLC,entertainment,Location manager,33,UT,Moab,5.53,0
Daugherty-Thompson,food_dining,Health physicist,52,CA,Newhall,66.93,0
Schmidt and Sons,shopping_net,Television/film/video producer,66,NE,Nelson,69.7,0
"Ledner, Hartmann and Feest",health_fitness,Information systems manager,37,WY,Fort Washakie,6.84,0
Collier LLC,home,Museum education officer,81,OR,Kent,86.28,0
Deckow-O'Conne,grocery_pos,Barrister,87,OR,Cascade Locks,140.43,0
"Crist, Jakubowski and Littel",home,"Scientist, audiological",60,UT,Mendon,24.98,0
Torphy-Kertzmann,health_fitness,Systems analyst,77,CA,Grenada,155.56,0
Waelchi Inc,kids_pets,Investment analyst,49,MO,Redford,3.28,0
"Eichmann, Hayes and Treutel",travel,Colour technologist,36,OR,Bay City,7.06,0
Barton LLC,kids_pets,Production manager,38,MO,Wheaton,6.43,0
"Dare, Casper and Bartoletti",kids_pets,Sales executive,53,CA,Laguna Hills,36.47,0
Lubowitz-Walte,kids_pets,Chartered public finance accountant,64,CA,San Diego,34.94,0
Parisian and Sons,gas_transport,Product designer,88,NE,Westerville,38.84,0
Cormier LLC,shopping_net,Chartered public finance accountant,64,CA,San Diego,4.8,0
Gottlieb-Hansen,personal_care,"Engineer, building services",60,OR,Portland,1.84,0
Weber and Sons,food_dining,Building surveyor,88,AZ,Paradise Valley,3.26,0
Kozey-Kuhlman,personal_care,Network engineer,78,NE,Valentine,20.04,0
"Stokes, Christiansen and Sipes",grocery_net,Podiatrist,51,CA,Lakeport,41.46,0
Terry Lt,home,Public house manager,49,WA,Burlington,30.75,0
Hilpert-Conroy,kids_pets,Early years teacher,50,CA,Helm,52.92,0
Flatley Group,misc_pos,Occupational psychologist,69,CA,Tomales,1.29,0
Koepp-Parke,grocery_pos,"Scientist, research (maths)",32,HI,Paauilo,65.12,0
Watsica LLC,personal_care,Land/geomatics surveyor,38,MO,Arnold,129.26,0
Pagac LLC,shopping_pos,"Therapist, music",35,CA,Mountain Center,6.51,0
"Herman, Treutel and Dickens",misc_net,Land/geomatics surveyor,38,MO,Arnold,9.36,0
Block Group,misc_pos,Dealer,47,OR,Athena,35.94,0
"McCullough, Hudson and Schuste",food_dining,"Nurse, mental health",75,NE,Roseland,14.45,0
Erdman-Durgan,health_fitness,Education administrator,57,CA,Vinton,102.0,0
Goldner-Lemke,entertainment,Armed forces training and education officer,64,CA,Port Costa,28.18,0
Auer-Mosciski,grocery_pos,Research scientist (physical sciences),42,WY,Lonetree,100.43,0
Stoltenberg-Beatty,shopping_pos,Special educational needs teacher,45,WA,Orient,35.33,0
"Yost, Schamberger and Windle",kids_pets,Retail merchandiser,95,OR,Sixes,3.51,0
Kutch Group,grocery_net,Land/geomatics surveyor,38,MO,Arnold,42.44,0
Schimmel-Olson,kids_pets,Public librarian,49,WY,Jelm,35.15,0
"Weber, Thiel and Hammes",kids_pets,Clothing/textile technologist,24,WA,Tekoa,42.66,0
Huel-Langworth,misc_net,"Surveyor, land/geomatics",35,NM,Red River,29.7,0
"McDermott, Osinski and Mo",home,Immigration officer,36,CA,Fiddletown,82.77,0
Berge-Ullrich,home,"Engineer, civil (consulting)",57,AK,Huslia,31.51,0
Reichel Inc,entertainment,"Surveyor, mining",50,NE,Fullerton,9.29,0
Schoen Lt,kids_pets,Town planner,57,MO,Luray,32.48,0
Kiehn Inc,grocery_pos,Web designer,40,CA,Smith River,100.71,0
"Streich, Hansen and Veum",gas_transport,Systems analyst,57,OR,Lowell,65.63,0
"Wintheiser, Dietrich and Schimmel",misc_pos,"Buyer, industrial",32,CA,Daly City,117.64,0
"Conroy, Balistreri and Gorczany",health_fitness,"Engineer, maintenance",67,OR,Gardiner,174.66,0
Bednar Inc,travel,Contractor,42,AZ,Phoenix,3.53,0
Jakubowski Inc,home,Architect,70,MO,Mound City,30.23,0
Christiansen-Gusikowski,misc_pos,Production manager,38,MO,Wheaton,4.84,0
"Ferry, Lynch and Kautze",misc_net,Human resources officer,56,NE,Manley,6.41,0
Nolan-Williamson,kids_pets,Osteopath,39,WA,Issaquah,15.95,0
"Mosciski, Gislason and Mertz",grocery_pos,Occupational psychologist,69,CA,Tomales,135.51,0
"Walter, Hettinger and Kessle",personal_care,Educational psychologist,42,WY,Manville,116.78,0
Botsford and Sons,home,Location manager,33,UT,Moab,1.04,0
Paucek-Wiz,grocery_net,Museum/gallery exhibitions officer,31,CO,Colorado Springs,63.97,0
Brown Inc,kids_pets,Futures trader,30,UT,American Fork,42.28,0
Volkman-Predovic,shopping_net,Wellsite geologist,67,CA,Claremont,4.61,0
"Kutch, Hermiston and Farrell",gas_transport,"Geologist, engineering",66,AZ,Parks,63.57,0
Donnelly LLC,entertainment,Freight forwarder,47,WY,Fort Washakie,84.92,0
Koepp-Witting,grocery_pos,Product designer,88,NE,Westerville,162.88,0
Friesen-Stamm,gas_transport,Dealer,47,OR,Athena,66.78,0
Swift PLC,kids_pets,Water engineer,48,CO,Littleton,59.76,0
Little Lt,kids_pets,"Therapist, horticultural",47,CA,Huntington Beach,46.89,0
"Langworth, Boehm and Gulgowski",shopping_net,Intelligence analyst,52,ID,Meridian,9.05,0
Stiedemann Lt,food_dining,Naval architect,25,MO,Owensville,7.35,0
Abbott-Steube,personal_care,Public relations account executive,84,CO,Meredith,162.56,0
Bogisich Inc,grocery_pos,"Therapist, music",35,CA,Mountain Center,137.84,0
Will Lt,food_dining,Production manager,38,MO,Wheaton,17.21,0
Beer-Jast,kids_pets,Physiotherapist,56,HI,Honokaa,86.87,0
Friesen-D'Amore,gas_transport,Call centre manager,65,CA,Greenview,48.18,0
Botsford and Sons,home,"Scientist, audiological",60,UT,Mendon,7.91,0
Kuphal-Bartoletti,misc_net,"Designer, exhibition/display",51,CA,Sun City,19.88,0
"Lowe, Dietrich and Erdman",kids_pets,"Engineer, automotive",49,NE,Hooper,81.37,0
"O'Reilly, Mohr and Purdy",home,Systems analyst,57,OR,Lowell,4.92,0
Klein Group,entertainment,Contractor,42,AZ,Phoenix,49.93,0
Barrows PLC,shopping_pos,"Designer, exhibition/display",51,CA,Sun City,1.01,0
Bins-Howell,personal_care,Electronics engineer,34,MO,Centerview,194.34,0
Cummerata-Hilpert,entertainment,Chemical engineer,60,CA,Palmdale,17.04,0
Veum-Koelpin,travel,Advertising account planner,41,CA,Glendale,5.6,0
Cole PLC,grocery_pos,Musician,41,WA,Burbank,227.31,0
Ernser-Feest,home,"Administrator, local government",50,WY,Alva,85.03,0
"Weber, Thiel and Hammes",kids_pets,IT consultant,34,NM,Crownpoint,196.7,0
Cartwright-Harris,grocery_pos,"Research officer, political party",39,WA,Conway,83.1,0
Vandervort-Funk,grocery_pos,Marketing executive,31,CA,Parker Dam,94.85,0
"Reilly, Heaney and Cole",gas_transport,Barrister,87,OR,Cascade Locks,89.63,0
"Larkin, Stracke and Greenfelde",entertainment,Building surveyor,88,AZ,Paradise Valley,17.4,0
Osinski Inc,personal_care,Music therapist,39,WY,Rock Springs,11.7,0
Hammes-Beatty,kids_pets,Cytogeneticist,69,MO,Browning,25.53,0
"Robel, Cummerata and Prosacco",gas_transport,Sales executive,53,CA,Laguna Hills,47.67,0
Kilback and Sons,entertainment,Cartographer,57,ID,Mesa,13.5,0
Kertzmann LLC,health_fitness,Barrister,87,OR,Cascade Locks,11.55,0
Goyette-Gerhol,kids_pets,Tourist information centre manager,48,MO,Meadville,46.93,0
Kutch-Ferry,home,Immigration officer,36,CA,Fiddletown,84.72,0
"Stroman, Hudson and Erdman",gas_transport,"Editor, magazine features",28,CA,Hawthorne,62.14,0
"Armstrong, Walter and Gottlieb",food_dining,Land/geomatics surveyor,38,MO,Arnold,4.07,0
Miller-Harris,misc_net,Firefighter,50,CA,Norwalk,8.38,0
Bode-Rempel,kids_pets,Cytogeneticist,69,MO,Browning,65.0,0
Bednar Group,misc_net,"Education officer, museum",56,WY,Freedom,9.69,0
Kunze Inc,grocery_pos,Investment analyst,49,MO,Redford,126.87,0
"Schoen, Nienow and Bauch",personal_care,"Buyer, industrial",32,CA,Daly City,17.38,0
Grimes LLC,entertainment,Land/geomatics surveyor,38,MO,Arnold,54.43,0
Pacocha-Weissnat,kids_pets,Naval architect,56,NM,High Rolls Mountain Park,8.96,0
Will Lt,food_dining,Licensed conveyancer,23,NM,Ruidoso,6.64,0
Gaylord-Powlowski,home,"Engineer, automotive",49,NE,Hooper,16.95,0
Bernhard Inc,gas_transport,Occupational psychologist,69,CA,Tomales,46.44,0
McGlynn-Jaskolski,misc_pos,"Therapist, art",35,NM,Moriarty,1.77,0
Welch Inc,misc_net,Cartographer,57,ID,Mesa,10.77,0
Dibbert-Green,entertainment,Production manager,38,MO,Wheaton,113.17,0
Lemke and Sons,travel,Electronics engineer,34,MO,Centerview,7.98,0
"Koss, McLaughlin and Maye",food_dining,"Buyer, industrial",32,CA,Daly City,122.08,0
Cruickshank-Mills,entertainment,Public relations account executive,59,NM,Lamy,113.34,0
Lynch Lt,shopping_pos,"Lecturer, higher education",30,WY,Riverton,9.34,0
McCullough Group,grocery_net,"Engineer, agricultural",43,MO,Kissee Mills,55.0,0
Bins-Tillman,entertainment,Contractor,42,AZ,Phoenix,228.4,0
Brown-Greenholt,entertainment,Airline pilot,38,CA,Napa,23.63,0
Jast and Sons,food_dining,Health physicist,52,CA,Newhall,16.89,0
Bogisich Inc,grocery_pos,Investment analyst,49,MO,Redford,83.04,0
"Yost, Block and Koepp",misc_pos,Electronics engineer,34,MO,Centerview,3.46,0
"Greenfelder, Bartoletti and Davis",misc_net,"Engineer, maintenance",67,OR,Gardiner,172.29,0
"Langworth, Boehm and Gulgowski",shopping_net,Investment analyst,49,MO,Redford,4.57,0
Kub PLC,personal_care,Tax inspector,35,MO,Rocky Mount,22.2,0
"O'Reilly, Mohr and Purdy",home,Colour technologist,64,MO,Camden,97.48,0
Rau-Grant,kids_pets,Firefighter,50,CA,Norwalk,9.75,0
Huels-Nolan,gas_transport,Systems analyst,77,CA,Grenada,52.54,0
Wilkinson LLC,personal_care,Soil scientist,57,CA,Sacramento,4.54,0
"Hermiston, Russel and Price",food_dining,Telecommunications researcher,73,NE,Holstein,55.01,0
Cummerata-Hilpert,entertainment,Information systems manager,37,WY,Fort Washakie,251.49,0
Friesen Inc,shopping_pos,Dealer,71,NE,Weeping Water,4.52,0
Mohr-Baye,shopping_net,Public librarian,49,WY,Jelm,6.0,0
Weber and Sons,food_dining,Public librarian,49,WY,Jelm,9.34,0
Cummerata-Hilpert,entertainment,Research scientist (physical sciences),46,OR,Newberg,18.31,0
Beer-Jast,kids_pets,Occupational psychologist,69,CA,Tomales,34.47,0
"Streich, Dietrich and Barton",shopping_net,"Therapist, music",35,CA,Mountain Center,72.0,0
Bernhard Inc,gas_transport,Architect,70,MO,Mound City,52.93,0
Homenick LLC,personal_care,Public house manager,49,WA,Burlington,34.37,0
Kiehn-Emmerich,grocery_pos,"Lecturer, higher education",30,WY,Riverton,57.62,0
Rippin-VonRueden,health_fitness,Museum/gallery exhibitions officer,31,CO,Colorado Springs,38.21,0
Jewess LLC,shopping_pos,"Engineer, communications",22,MO,Ballwin,1.59,0
"Schaefer, McGlynn and Bosco",gas_transport,Magazine features editor,44,CA,Sacramento,52.95,0
Rowe-Vandervort,grocery_net,Mental health nurse,45,CO,Dumont,48.89,0
Gaylord-Powlowski,home,Music therapist,39,WY,Rock Springs,21.17,0
"Kutch, Hermiston and Farrell",gas_transport,"Engineer, automotive",49,NE,Hooper,62.67,0
Kemmer-Reinge,grocery_net,Water engineer,48,CO,Littleton,73.46,0
Mante Group,misc_net,Petroleum engineer,36,AZ,Superior,3.64,0
Leannon-W,food_dining,Music therapist,39,WY,Rock Springs,69.68,0
Homenick LLC,personal_care,Advertising account planner,41,CA,Glendale,3.18,0
Abshire PLC,entertainment,Firefighter,50,CA,Norwalk,68.24,0
"Goyette, Howell and Collie",shopping_pos,"Geologist, engineering",66,AZ,Parks,5.09,0
Rempel Inc,shopping_net,Historic buildings inspector/conservation officer,51,NM,Espanola,2.16,0
Shields Inc,grocery_net,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,40.2,0
"Kutch, Steuber and Gerhol",food_dining,Cytogeneticist,69,MO,Browning,120.68,0
Cummerata-Jones,gas_transport,Nature conservation officer,61,ID,Malad City,60.3,0
Eichmann-Kilback,home,"Surveyor, minerals",83,NE,Campbell,98.89,0
Cartwright-Harris,grocery_pos,"Nurse, mental health",75,NE,Roseland,121.95,0
Skiles LLC,home,Barista,49,CA,Oakland,233.05,0
"Goldner, Kovacek and Abbott",grocery_pos,"Scientist, marine",53,CO,Aurora,90.98,0
"Hettinger, McCullough and Fay",home,Osteopath,39,WA,Issaquah,93.31,0
Sporer-Keeble,personal_care,Television/film/video producer,66,NE,Nelson,41.88,0
Windler LLC,kids_pets,Chartered public finance accountant,64,CA,San Diego,181.64,0
"Hayes, Marquardt and Dibbert",misc_net,Television/film/video producer,66,NE,Nelson,24.0,0
Mohr-Baye,shopping_net,Counsellor,35,MO,Kansas City,632.95,0
Maggio-Fahey,misc_pos,Clothing/textile technologist,24,WA,Tekoa,29.65,0
Friesen Lt,health_fitness,Clinical research associate,50,MO,Odessa,23.66,0
Gleason-Macejkovic,shopping_net,Retail merchandiser,95,OR,Sixes,3.26,0
Cummerata-Jones,gas_transport,Network engineer,67,CO,Kirk,39.36,0
Wisozk and Sons,misc_pos,Firefighter,50,CA,Norwalk,4.19,0
Parker-Kunde,personal_care,Advertising account planner,41,CA,Glendale,8.14,0
Hills-Witting,shopping_net,Intelligence analyst,52,ID,Meridian,126.09,0
Parisian and Sons,gas_transport,Electronics engineer,34,MO,Centerview,63.2,0
Koepp-Parke,grocery_pos,Town planner,57,MO,Luray,118.93,0
"Rodriguez, Yost and Jenkins",misc_net,Learning mentor,68,CA,Indian Wells,1.4,0
Emard Inc,gas_transport,Systems analyst,57,OR,Lowell,85.5,0
Shields-Wunsch,health_fitness,Podiatrist,51,CA,Lakeport,75.41,0
Reichel Inc,entertainment,"Engineer, maintenance",67,OR,Gardiner,27.56,0
Shanahan-Lehne,personal_care,"Surveyor, minerals",36,UT,Thompson,22.34,0
Bailey-Mo,grocery_pos,Systems analyst,57,OR,Lowell,357.5,1
Stark-Koss,home,Metallurgist,48,NE,Carroll,87.8,0
Kemmer-Buckridge,misc_pos,Wellsite geologist,67,CA,Claremont,7.36,0
Kessler Group,travel,Public librarian,49,WY,Jelm,4.05,0
Schmidt-Larkin,home,Soil scientist,57,CA,Sacramento,9.1,0
"Hayes, Marquardt and Dibbert",misc_net,Counselling psychologist,23,AZ,Phoenix,7.78,0
Kris-Weimann,misc_net,"Surveyor, land/geomatics",35,NM,Red River,4.41,0
Fritsch LLC,travel,"Engineer, communications",22,MO,Ballwin,1.71,0
"Connelly, Reichert and Fritsch",gas_transport,"Administrator, education",84,AK,Wales,57.57,0
"Zemlak, Tillman and Cremin",personal_care,"Scientist, research (maths)",32,HI,Paauilo,2.7,0
"Olson, Becker and Koch",gas_transport,"Civil engineer, contracting",62,CA,Santa Monica,95.62,0
Schuppe LLC,entertainment,Historic buildings inspector/conservation officer,51,NM,Espanola,22.75,0
"Fadel, Mertz and Rippin",entertainment,Freight forwarder,47,WY,Fort Washakie,70.79,0
"Schneider, Hayes and Nikolaus",food_dining,Historic buildings inspector/conservation officer,51,NM,Espanola,17.51,0
"Denesik, Powlowski and Pouros",home,Associate Professor,56,NE,Brainard,36.69,0
"Lang, Towne and Schuppe",kids_pets,"Sales professional, IT",33,UT,Altonah,141.44,0
Halvorson Group,misc_pos,Network engineer,67,CO,Kirk,2.91,0
"Eichmann, Hayes and Treutel",travel,Planning and development surveyor,41,OR,Lake Oswego,6.08,0
Weimann-Lockman,kids_pets,Intelligence analyst,52,ID,Meridian,114.25,0
Ullrich Lt,kids_pets,Materials engineer,81,WY,Yellowstone National Park,11.03,0
Deckow-Dare,food_dining,"Scientist, research (maths)",32,HI,Paauilo,2.93,0
Brekke and Sons,gas_transport,"Geologist, engineering",66,AZ,Parks,75.26,0
"Douglas, Schneider and Turne",shopping_pos,"Sales professional, IT",33,UT,Altonah,433.85,0
"Konopelski, Schneider and Hartmann",food_dining,Production manager,38,MO,Wheaton,7.41,0
"Hettinger, McCullough and Fay",home,Dealer,47,OR,Athena,82.89,0
"Tillman, Fritsch and Schmitt",misc_net,"Surveyor, minerals",36,UT,Thompson,5.41,0
Simonis-Prohask,misc_pos,Product designer,88,NE,Westerville,5.77,0
Welch Inc,misc_net,Land/geomatics surveyor,38,MO,Arnold,3.64,0
Romaguera Lt,health_fitness,"Therapist, occupational",72,CA,Carlotta,133.93,0
Kovacek Lt,travel,"Therapist, occupational",72,CA,Carlotta,7.73,0
Runte-Moh,food_dining,Telecommunications researcher,73,NE,Holstein,6.12,0
Howe PLC,entertainment,Clothing/textile technologist,24,WA,Tekoa,66.88,0
"Heller, Gutmann and Zieme",grocery_pos,Dealer,47,OR,Athena,117.18,0
VonRueden Group,grocery_net,Freight forwarder,47,WY,Fort Washakie,57.32,0
"Baumbach, Strosin and Nicolas",shopping_pos,"Surveyor, land/geomatics",45,NM,Kirtland Afb,1097.16,0
Marks Inc,gas_transport,Information systems manager,37,WY,Fort Washakie,53.8,0
"Witting, Beer and Ernse",home,"Scientist, physiological",59,OR,Eugene,56.96,0
"Turcotte, Batz and Buckridge",health_fitness,Contractor,42,AZ,Phoenix,89.84,0
Bogisich Inc,grocery_pos,IT consultant,34,NM,Crownpoint,57.51,0
Huels-Nolan,gas_transport,"Engineer, communications",22,MO,Ballwin,63.85,0
"Larkin, Stracke and Greenfelde",entertainment,Television floor manager,66,MO,Cardwell,24.38,0
"Schneider, Hayes and Nikolaus",food_dining,Intelligence analyst,52,ID,Meridian,180.41,0
Bernhard-Lesch,food_dining,Architectural technologist,62,NM,Llano,140.31,0
"Kutch, Hermiston and Farrell",gas_transport,"Scientist, audiological",94,CA,Fields Landing,57.31,0
Wilkinson PLC,kids_pets,Licensed conveyancer,23,NM,Ruidoso,153.11,0
Kris-Padberg,shopping_pos,"Designer, exhibition/display",51,CA,Sun City,3.21,0
Kub PLC,personal_care,"Engineer, production",30,MO,Independence,16.05,0
"Stehr, Jewess and Schimmel",misc_net,Private music teacher,53,MO,Brashear,1.9,0
Thiel-Thiel,entertainment,Freight forwarder,47,WY,Fort Washakie,79.91,0
"Haley, Jewess and Bechtel",shopping_pos,"Administrator, education",84,AK,Wales,204.63,0
"Kutch, Hermiston and Farrell",gas_transport,"Scientist, audiological",60,UT,Mendon,81.62,0
Mayert Group,shopping_pos,Planning and development surveyor,41,OR,Lake Oswego,16.93,0
Hammes-Beatty,kids_pets,Counsellor,35,MO,Kansas City,66.34,0
Bogisich Inc,grocery_pos,Public house manager,49,WA,Burlington,234.54,0
Auer-West,shopping_net,Music therapist,39,WY,Rock Springs,9.34,0
"Gottlieb, Considine and Schultz",shopping_net,Product designer,88,NE,Westerville,7.5,0
Beier-Hyatt,shopping_pos,Intelligence analyst,52,ID,Meridian,6.83,0
Johnston-Caspe,travel,Public house manager,49,WA,Burlington,9.76,0
Lockman Lt,grocery_pos,Radio broadcast assistant,28,OR,Shedd,102.0,0
Hoppe-Parisian,kids_pets,"Surveyor, land/geomatics",35,NM,Red River,3.69,0
Emard Inc,gas_transport,Systems analyst,77,CA,Grenada,47.93,0
Grimes LLC,entertainment,Occupational psychologist,69,CA,Tomales,87.79,0
Emmerich-R,personal_care,"Scientist, audiological",94,CA,Fields Landing,121.01,0
Carroll PLC,health_fitness,Naval architect,56,NM,High Rolls Mountain Park,2.36,0
"Swaniawski, Lowe and Robel",shopping_pos,Health service manager,96,CA,June Lake,3.77,0
"O'Reilly, Mohr and Purdy",home,"Engineer, production",30,MO,Independence,22.42,0
