merchant,category,job,age,state,city,amount
"Hills, Hegmann and Schaefe",health_fitness,Music therapist,39,WY,Rock Springs,19.32
"Hauck, Dietrich and Funk",kids_pets,Futures trader,30,UT,American Fork,209.28
"Dare, Casper and Bartoletti",kids_pets,Armed forces training and education officer,64,CA,Port Costa,54.44
Block Group,misc_pos,Naval architect,56,NM,High Rolls Mountain Park,6.33
Champlin-Caspe,home,"Surveyor, land/geomatics",45,NM,Kirtland Afb,15.03
Dietrich-Fadel,health_fitness,Clothing/textile technologist,24,WA,Tekoa,15.63
Murray-Smitham,grocery_pos,Museum/gallery exhibitions officer,31,CO,Colorado Springs,183.68
"Christiansen, Goyette and Schamberge",gas_transport,Cytogeneticist,69,MO,Browning,58.6
Cormier LLC,shopping_net,IT consultant,34,NM,Crownpoint,2.63
Barton Inc,grocery_pos,Civil Service fast streamer,40,CA,Azusa,186.5
Bogisich-Weimann,kids_pets,Musician,41,WA,Burbank,280.78
Koss and Sons,gas_transport,Airline pilot,38,CA,Napa,79.59
Powlowski-Weimann,food_dining,"Scientist, audiological",94,CA,Fields Landing,18.6
"Klocko, Runolfsdottir and Breitenberg",health_fitness,Occupational psychologist,69,CA,Tomales,100.47
"Douglas, DuBuque and McKenzie",travel,Learning mentor,68,CA,Indian Wells,8.62
Lockman Lt,grocery_pos,Electronics engineer,34,MO,Centerview,110.74
Romaguera Lt,health_fitness,"Therapist, occupational",72,CA,Carlotta,23.69
Fadel Inc,health_fitness,Electronics engineer,34,MO,Centerview,5.64
Wuckert-Walte,grocery_net,"Lecturer, higher education",30,WY,Riverton,16.66
"Cremin, Hamill and Reichel",misc_pos,Community arts worker,54,CO,Iliff,3.03
"Robel, Cummerata and Prosacco",gas_transport,Architect,70,MO,Mound City,49.3
Huels-Nolan,gas_transport,"Engineer, automotive",49,NE,Hooper,47.69
Leffler-Goldne,personal_care,Land/geomatics surveyor,38,MO,Arnold,9.65
Connelly PLC,food_dining,Special educational needs teacher,45,WA,Orient,66.66
Morissette LLC,entertainment,Hotel manager,36,CO,Arvada,97.97
"Hagenes, Kohler and Hoppe",food_dining,"Scientist, physiological",59,OR,Eugene,92.76
"Durgan, Gislason and Spence",home,Insurance broker,41,NE,Sutherland,70.83
"Bradtke, Torp and Bahringe",personal_care,Counselling psychologist,23,AZ,Phoenix,186.82
"Tillman, Dickinson and Labadie",gas_transport,Podiatrist,51,CA,Lakeport,81.12
Nader-Maggio,personal_care,Medical technical officer,54,WA,Monitor,3.2
McCullough Group,grocery_net,Health physicist,52,CA,Newhall,55.53
Smitham-Boehm,grocery_net,Early years teacher,50,CA,Helm,52.04
"Klocko, Runolfsdottir and Breitenberg",health_fitness,"Education officer, museum",56,WY,Freedom,76.72
Gerlach Inc,shopping_net,Clothing/textile technologist,24,WA,Tekoa,134.57
"Metz, Russel and Metz",kids_pets,Airline pilot,38,CA,Napa,28.57
Heidenreich PLC,grocery_pos,Mental health nurse,45,CO,Dumont,105.48
Botsford and Sons,home,Airline pilot,38,CA,Napa,29.23
Schamberger-O'Keefe,grocery_pos,Insurance broker,41,NE,Sutherland,88.14
Abernathy and Sons,food_dining,Petroleum engineer,36,AZ,Superior,16.1
Bradtke PLC,grocery_pos,"Engineer, automotive",49,NE,Hooper,125.79
"Mosciski, Gislason and Mertz",grocery_pos,Education administrator,57,CA,Vinton,139.36
Mohr-Baye,shopping_net,Advertising account planner,41,CA,Glendale,262.73
"O'Reilly, Mohr and Purdy",home,"Teacher, early years/pre",82,MO,Louisiana,18.2
Reichel Inc,entertainment,"Surveyor, minerals",83,NE,Campbell,19.83
"Schuppe, Nolan and Hoege",shopping_pos,Investment analyst,49,MO,Redford,1.94
Padberg-Rogahn,entertainment,Insurance broker,41,NE,Sutherland,26.67
Jacobi and Sons,shopping_pos,"Surveyor, minerals",36,UT,Thompson,1.15
Fadel-Hilpert,health_fitness,Chief Marketing Officer,80,WA,Colton,102.36
"Pouros, Walker and Spence",kids_pets,"Surveyor, minerals",83,NE,Campbell,2.92
"Willms, Kris and Bergnaum",shopping_pos,Electronics engineer,34,MO,Centerview,3.79
Haag-Blan,food_dining,"Engineer, communications",22,MO,Ballwin,21.79
"Zemlak, Tillman and Cremin",personal_care,"Education officer, museum",56,WY,Freedom,10.14
Friesen-Stamm,gas_transport,Telecommunications researcher,73,NE,Holstein,58.04
"Pouros, Walker and Spence",kids_pets,Public librarian,49,WY,Jelm,26.42
Gleason and Sons,kids_pets,"Therapist, occupational",72,CA,Carlotta,8.0
Kassulke Inc,entertainment,"Scientist, physiological",59,OR,Eugene,190.82
"Altenwerth, Cartwright and Koss",shopping_net,Armed forces training and education officer,64,CA,Port Costa,6.64
"Moen, Reinger and Murphy",grocery_pos,Airline pilot,38,CA,Napa,213.75
"Kerluke, Kertzmann and Wiz",misc_net,"Administrator, education",84,AK,Wales,2.95
Leannon-W,food_dining,"Sales professional, IT",33,UT,Altonah,7.65
Lockman Lt,grocery_pos,Barista,49,CA,Oakland,76.02
"Baumbach, Hodkiewicz and Walsh",shopping_pos,"Surveyor, land/geomatics",35,NM,Red River,22.1
Emmerich-Luettgen,grocery_net,Barista,49,CA,Oakland,24.14
"Weber, Thiel and Hammes",kids_pets,Wellsite geologist,67,CA,Claremont,120.68
Kuhic Inc,grocery_pos,Educational psychologist,71,NM,Loving,124.3
Friesen-D'Amore,gas_transport,Town planner,57,MO,Luray,44.1
Kling-Grant,grocery_net,Health physicist,52,CA,Newhall,38.96
"Turcotte, Batz and Buckridge",health_fitness,"Engineer, communications",22,MO,Ballwin,107.64
Kuhn LLC,misc_net,Electronics engineer,34,MO,Centerview,1.33
Weimann-Lockman,kids_pets,Health physicist,52,CA,Newhall,25.37
Leffler-Goldne,personal_care,Production manager,38,MO,Wheaton,2.33
Padberg-Rogahn,entertainment,Community arts worker,54,CO,Iliff,72.48
Windler LLC,kids_pets,Public relations account executive,84,CO,Meredith,20.95
Rodriguez Group,gas_transport,"Administrator, education",84,AK,Wales,63.57
Dibbert and Sons,entertainment,"Buyer, industrial",32,CA,Daly City,107.85
Bogisich Inc,grocery_pos,Systems analyst,57,OR,Lowell,186.25
Block-Parisian,misc_net,Geoscientist,61,UT,Hatch,173.87
Graham and Sons,health_fitness,Agricultural consultant,73,MO,Blairstown,18.87
Spinka-Welch,grocery_net,Soil scientist,57,CA,Sacramento,166.05
Fahey Inc,kids_pets,Armed forces training and education officer,64,CA,Port Costa,11.24
"Bradtke, Torp and Bahringe",personal_care,Investment analyst,49,MO,Redford,34.42
"Nienow, Barrows and Romague",personal_care,Electronics engineer,34,MO,Centerview,20.16
Beier LLC,entertainment,Contractor,42,AZ,Phoenix,146.84
Goldner-Lemke,entertainment,Tax inspector,35,MO,Rocky Mount,46.47
"Okuneva, Schneider and R",shopping_pos,Advertising account planner,41,CA,Glendale,6.78
Shields-Wunsch,health_fitness,Systems analyst,57,OR,Lowell,17.74
"Lehner, Mosciski and King",misc_net,"Surveyor, minerals",36,UT,Thompson,1.79
Pollich LLC,home,Occupational psychologist,69,CA,Tomales,4.87
Grimes LLC,entertainment,"Scientist, physiological",59,OR,Eugene,16.78
Effertz LLC,entertainment,Insurance broker,41,NE,Sutherland,88.38
Langworth LLC,personal_care,"Scientist, physiological",59,OR,Eugene,83.31
Kozey-Boehm,shopping_net,Osteopath,39,WA,Issaquah,3.27
Rutherford-Mertz,grocery_pos,Firefighter,50,CA,Norwalk,35.4
Fadel-Hilpert,health_fitness,Investment analyst,49,MO,Redford,112.3
Schmidt-Larkin,home,Glass blower/designer,53,MO,Williamsburg,79.43
Brown PLC,misc_net,"Surveyor, land/geomatics",35,NM,Red River,80.51
Schmidt and Sons,shopping_net,"Designer, exhibition/display",51,CA,Sun City,2.77
"Klocko, Runolfsdottir and Breitenberg",health_fitness,"Radiographer, diagnostic",61,MO,Syracuse,7.48
Schroeder Group,health_fitness,Agricultural consultant,73,MO,Blairstown,36.81
"Jenkins, Hauck and Friesen",gas_transport,"Engineer, civil (consulting)",57,AK,Huslia,62.39
Nader-Maggio,personal_care,Water engineer,48,CO,Littleton,22.92
"Yost, Schamberger and Windle",kids_pets,Chief Marketing Officer,80,WA,Colton,20.87
Schaefer Lt,kids_pets,Forensic psychologist,62,OR,Westfir,18.35
Cummings LLC,gas_transport,Video editor,67,WA,Ashford,79.91
"Huel, Hammes and Witting",grocery_pos,Human resources officer,56,NE,Manley,133.96
"Terry, Johns and Bins",misc_pos,Land/geomatics surveyor,51,MO,Utica,3.16
Stark-Batz,entertainment,Wellsite geologist,67,CA,Claremont,73.83
"Lehner, Reichert and Mills",misc_pos,Health service manager,96,CA,June Lake,6.48
"Weber, Thiel and Hammes",kids_pets,Land/geomatics surveyor,38,MO,Arnold,49.37
"Witting, Beer and Ernse",home,Chief Marketing Officer,80,WA,Colton,51.13
Thiel-Thiel,entertainment,Counsellor,35,MO,Kansas City,12.46
Boyer PLC,misc_pos,Water engineer,48,CO,Littleton,29.51
"Greenholt, O'Hara and Balistreri",shopping_net,"Sales professional, IT",33,UT,Altonah,4.83
"Bahringer, Bergnaum and Quitzon",home,Radio broadcast assistant,28,OR,Shedd,1.85
Vandervort-Funk,grocery_pos,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,117.14
"Schaefer, Fay and Hilll",entertainment,Product/process development scientist,50,WY,Lagrange,98.23
"Ruecker, Beer and Collie",shopping_net,"Scientist, physiological",59,OR,Eugene,2.33
Schmidt-Larkin,home,Architectural technologist,62,NM,Llano,12.44
"Huel, Hammes and Witting",grocery_pos,Mental health nurse,45,CO,Dumont,113.49
"Quitzon, Green and Bashirian",shopping_pos,Early years teacher,50,CA,Helm,152.6
"Mueller, Gerhold and Muelle",health_fitness,Call centre manager,65,CA,Greenview,2.28
Doyle Lt,grocery_pos,"Engineer, building services",60,OR,Portland,75.27
Grimes LLC,entertainment,"Therapist, occupational",72,CA,Carlotta,5.9
Wiegand-Lowe,grocery_net,Music therapist,39,WY,Rock Springs,33.41
"Lind, Huel and McClure",gas_transport,Land/geomatics surveyor,38,MO,Arnold,89.81
"Haley, Jewess and Bechtel",shopping_pos,Musician,41,WA,Burbank,1.52
"Tromp, Kerluke and Glove",grocery_net,Early years teacher,50,CA,Helm,41.85
Heaney-Marquardt,entertainment,Occupational psychologist,69,CA,Tomales,23.04
Hickle Group,shopping_pos,Advertising account planner,41,CA,Glendale,2.87
"Altenwerth, Cartwright and Koss",shopping_net,"Editor, magazine features",28,CA,Hawthorne,6.96
"Eichmann, Bogan and Rodriguez",gas_transport,Cartographer,57,ID,Mesa,47.14
Zulauf LLC,personal_care,Tax inspector,35,MO,Rocky Mount,12.93
Berge LLC,gas_transport,Systems analyst,77,CA,Grenada,53.08
Hamill-Daugherty,misc_net,Human resources officer,56,NE,Manley,1.14
"Cole, Hills and Jewess",home,Musician,41,WA,Burbank,107.11
Parisian and Sons,gas_transport,Research scientist (physical sciences),42,WY,Lonetree,65.79
Botsford and Sons,home,"Engineer, agricultural",43,MO,Kissee Mills,54.89
"Bahringer, Schoen and Corkery",shopping_pos,Insurance broker,41,NE,Sutherland,8.58
Pfeffer and Sons,shopping_pos,"Surveyor, land/geomatics",35,NM,Red River,2.24
"Konopelski, Schneider and Hartmann",food_dining,Music therapist,39,WY,Rock Springs,72.68
Schoen-Quigley,kids_pets,Armed forces training and education officer,64,CA,Port Costa,56.78
Kutch-Ferry,home,Firefighter,50,CA,Norwalk,82.58
Boyer-Reichert,shopping_net,Occupational psychologist,69,CA,Tomales,3.66
"Reichel, Bradtke and Blan",travel,Museum education officer,81,OR,Kent,1.44
Johns-Hoege,entertainment,Osteopath,39,WA,Issaquah,226.12
"Lesch, D'Amore and Brown",food_dining,"Therapist, music",35,CA,Mountain Center,16.45
Beier LLC,entertainment,Architectural technologist,62,NM,Llano,7.46
Mante Group,misc_net,Health physicist,52,CA,Newhall,225.34
Brown Inc,kids_pets,Systems analyst,77,CA,Grenada,108.74
Kuphal-Toy,food_dining,"Nurse, children's",43,NE,North Loup,18.77
"Schiller, Blanda and Johnson",home,Learning mentor,68,CA,Indian Wells,147.87
"Schaefer, Fay and Hilll",entertainment,Immigration officer,36,CA,Fiddletown,65.33
"Nitzsche, Kessler and Wol",shopping_pos,Further education lecturer,35,CO,Pueblo,1.97
"Conroy, Balistreri and Gorczany",health_fitness,Location manager,33,UT,Moab,14.19
Kemmer-Buckridge,misc_pos,Clothing/textile technologist,24,WA,Tekoa,323.05
Koepp-Parke,grocery_pos,Intelligence analyst,52,ID,Meridian,194.79
Brekke and Sons,gas_transport,"Education officer, museum",56,WY,Freedom,39.28
"Conroy, Balistreri and Gorczany",health_fitness,IT consultant,34,NM,Crownpoint,42.44
"Reichert, Rowe and Mraz",shopping_net,"Civil engineer, contracting",62,CA,Santa Monica,31.43
Reichel LLC,personal_care,Television/film/video producer,66,NE,Nelson,4.64
Erdman-Schaden,personal_care,Learning mentor,68,CA,Indian Wells,15.66
Friesen-D'Amore,gas_transport,"Nurse, children's",43,NE,North Loup,74.23
Schmidt and Sons,shopping_net,Firefighter,50,CA,Norwalk,1.01
"Graham, Hegmann and Hammes",food_dining,"Lecturer, higher education",30,WY,Riverton,19.65
"Watsica, Haag and Considine",shopping_pos,Retail merchandiser,95,OR,Sixes,5.38
Graham and Sons,health_fitness,Musician,41,WA,Burbank,83.17
Kuphal-Bartoletti,misc_net,Music therapist,39,WY,Rock Springs,56.05
"Swaniawski, Lowe and Robel",shopping_pos,"Journalist, newspaper",64,CA,Los Angeles,4.16
"Roberts, Ryan and Smith",personal_care,"Nurse, children's",43,NE,North Loup,96.02
"McDermott, Osinski and Mo",home,Insurance broker,41,NE,Sutherland,60.84
Conroy-Em,food_dining,"Administrator, local government",50,WY,Alva,66.97
"Robel, Cummerata and Prosacco",gas_transport,Architect,70,MO,Mound City,43.6
Kutch-Hegmann,grocery_net,Magazine features editor,44,CA,Sacramento,76.6
Marks Inc,gas_transport,Osteopath,39,WA,Issaquah,66.54
Graham and Sons,health_fitness,Public librarian,49,WY,Jelm,36.88
Schumm PLC,health_fitness,Geoscientist,26,CA,San Jose,30.38
"Schoen, Kuphal and Nitzsche",grocery_pos,Video editor,67,WA,Ashford,117.69
Miller-Hauck,grocery_pos,"Engineer, petroleum",86,OR,Scotts Mills,121.38
Koepp-Parke,grocery_pos,Musician,41,WA,Burbank,186.43
Heathcote LLC,shopping_net,"Journalist, newspaper",64,CA,Los Angeles,3.45
"Hermiston, Pacocha and Smith",health_fitness,Agricultural consultant,73,MO,Blairstown,71.23
Goodwin-Nitzsche,grocery_pos,"Research officer, political party",39,WA,Conway,110.29
Mohr-Baye,shopping_net,Contractor,42,AZ,Phoenix,24.96
Sporer-Keeble,personal_care,Water engineer,48,CO,Littleton,20.96
"Pouros, Walker and Spence",kids_pets,Early years teacher,50,CA,Helm,48.85
Prohaska-Murray,gas_transport,Public librarian,49,WY,Jelm,63.63
"Crist, Jakubowski and Littel",home,Public house manager,49,WA,Burlington,143.19
Daugherty LLC,kids_pets,"Administrator, education",84,AK,Wales,103.05
Bauch-Blan,entertainment,Physiotherapist,56,HI,Honokaa,1.77
Larson-Moen,entertainment,"Engineer, petroleum",86,OR,Scotts Mills,30.43
"Walter, Hettinger and Kessle",personal_care,Tax inspector,35,MO,Rocky Mount,44.12
Schiller Lt,personal_care,Intelligence analyst,52,ID,Meridian,16.63
O'Hara-Wilderman,food_dining,Podiatrist,51,CA,Lakeport,49.44
"Roberts, Ryan and Smith",personal_care,Electronics engineer,34,MO,Centerview,2.41
"Turcotte, McKenzie and Koss",entertainment,"Research officer, political party",39,WA,Conway,14.17
Homenick LLC,personal_care,"Research officer, political party",39,WA,Conway,31.62
Heathcote LLC,shopping_net,Special educational needs teacher,45,WA,Orient,11.44
"Connelly, Reichert and Fritsch",gas_transport,Intelligence analyst,52,ID,Meridian,69.03
Schmitt Inc,gas_transport,"Engineer, automotive",49,NE,Hooper,58.83
Lynch-Wisozk,home,Private music teacher,53,MO,Brashear,7.17
Gulgowski LLC,home,"Surveyor, minerals",36,UT,Thompson,1.3
"Langosh, Wintheiser and Hyatt",food_dining,"Engineer, communications",22,MO,Ballwin,20.91
"Casper, Hand and Zul",grocery_pos,"Scientist, audiological",94,CA,Fields Landing,112.18
Schiller Lt,personal_care,"Engineer, maintenance",67,OR,Gardiner,86.11
Schmidt-Larkin,home,"Research officer, political party",39,WA,Conway,46.33
"Wuckert, Wintheiser and Friesen",home,"Pilot, airline",35,WY,Laramie,90.06
"Christiansen, Goyette and Schamberge",gas_transport,Futures trader,30,UT,American Fork,48.58
Heathcote LLC,shopping_net,Charity officer,56,NM,Albuquerque,42.55
Kautzer and Sons,personal_care,Osteopath,39,WA,Issaquah,55.48
Berge LLC,gas_transport,Public relations account executive,84,CO,Meredith,70.34
Waters-Cruickshank,health_fitness,Metallurgist,48,NE,Carroll,72.8
Bahringer-Streich,food_dining,Chartered public finance accountant,64,CA,San Diego,40.45
"Koss, McLaughlin and Maye",food_dining,"Lecturer, higher education",30,WY,Riverton,77.94
"Heller, Gutmann and Zieme",grocery_pos,Hotel manager,36,CO,Arvada,50.86
Beier-Hyatt,shopping_pos,Music therapist,39,WY,Rock Springs,789.43
Carroll PLC,health_fitness,"Administrator, local government",50,WY,Alva,78.4
Baumbach Lt,personal_care,"Engineer, production",30,MO,Independence,4.58
Auer-Mosciski,grocery_pos,Intelligence analyst,52,ID,Meridian,221.08
Mayert Group,shopping_pos,Building surveyor,88,AZ,Paradise Valley,1.15
Windler LLC,kids_pets,Research scientist (maths),95,NE,Howells,70.8
Schoen-Quigley,kids_pets,Barista,49,CA,Oakland,60.27
Schmeler Inc,misc_pos,"Therapist, music",35,CA,Mountain Center,40.06
"Brown, Homenick and Lesch",health_fitness,"Engineer, petroleum",86,OR,Scotts Mills,11.98
Reichel LLC,personal_care,"Investment banker, corporate",73,MO,Unionville,6.26
Sporer Inc,gas_transport,"Surveyor, minerals",83,NE,Campbell,66.88
"Daugherty, Pouros and Beahan",shopping_pos,"Pilot, airline",35,WY,Laramie,3.59
Beier and Sons,home,Osteopath,39,WA,Issaquah,15.72
Thompson-Gleason,health_fitness,Learning mentor,68,CA,Indian Wells,21.65
Kutch and Sons,grocery_pos,Insurance broker,41,NE,Sutherland,97.47
Nolan-Williamson,kids_pets,Planning and development surveyor,41,OR,Lake Oswego,22.6
"Greenholt, O'Hara and Balistreri",shopping_net,Architectural technologist,62,NM,Llano,3.63
Harris Inc,gas_transport,Television/film/video producer,66,NE,Nelson,61.17
"Turcotte, Batz and Buckridge",health_fitness,Health physicist,52,CA,Newhall,119.51
"Bahringer, Osinski and Block",food_dining,"Teacher, adult education",34,CA,Wendel,2.99
Goyette-Gerhol,kids_pets,Armed forces training and education officer,64,CA,Port Costa,4.69
Johns Inc,entertainment,"Civil engineer, contracting",62,CA,Santa Monica,37.48
Bins-Tillman,entertainment,Land/geomatics surveyor,51,MO,Utica,11.25
Pacocha-Weissnat,kids_pets,Barrister,87,OR,Cascade Locks,21.86
Breitenberg-Hermiston,kids_pets,Charity officer,56,NM,Albuquerque,31.96
Berge-Hills,kids_pets,"Therapist, occupational",72,CA,Carlotta,13.08
"Wintheiser, Dietrich and Schimmel",misc_pos,Research scientist (physical sciences),42,WY,Lonetree,35.25
Rowe-Vandervort,grocery_net,Colour technologist,36,OR,Bay City,43.52
"Kihn, Abernathy and Douglas",shopping_net,Futures trader,30,UT,American Fork,32.07
Deckow-Dare,food_dining,Electronics engineer,34,MO,Centerview,87.81
"Hills, Hegmann and Schaefe",health_fitness,"Pilot, airline",35,WY,Laramie,31.07
Herzog Lt,misc_pos,Insurance broker,44,UT,Woods Cross,99.92
McDermott-Weimann,grocery_pos,Product designer,88,NE,Westerville,118.24
Heidenreich PLC,grocery_pos,Town planner,57,MO,Luray,149.54
Lockman Lt,grocery_pos,"Surveyor, land/geomatics",35,NM,Red River,106.99
Gerlach Inc,shopping_net,Wellsite geologist,67,CA,Claremont,384.47
Haag-Blan,food_dining,Public librarian,49,WY,Jelm,5.93
Dooley Inc,shopping_pos,Materials engineer,91,CO,Parker,4.54
Connelly-Carte,home,Systems analyst,77,CA,Grenada,62.1
Douglas-White,entertainment,"Surveyor, land/geomatics",35,NM,Red River,16.76
Turcotte-Halvorson,misc_pos,"Engineer, automotive",49,NE,Hooper,8.38
Kuphal-Predovic,misc_net,Educational psychologist,42,WY,Manville,70.74
"Reinger, Weissnat and Strosin",food_dining,Telecommunications researcher,73,NE,Holstein,43.66
Zboncak Lt,food_dining,Tax inspector,35,MO,Rocky Mount,5.64
Beier LLC,entertainment,"Lecturer, higher education",30,WY,Riverton,2.03
Douglas-White,entertainment,Building surveyor,88,AZ,Paradise Valley,139.0
"Jones, Sawayn and Romague",misc_net,Telecommunications researcher,73,NE,Holstein,8.58
"Gutmann, McLaughlin and Wiz",home,"Surveyor, land/geomatics",35,NM,Red River,172.69
Ernser-Feest,home,"Engineer, automotive",49,NE,Hooper,119.93
Ernser-Lynch,food_dining,"Engineer, production",30,MO,Independence,67.39
"Okuneva, Schneider and R",shopping_pos,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,2.16
Kerluke-Abshire,shopping_net,Barista,49,CA,Oakland,37.21
"Runolfsdottir, Mueller and Han",entertainment,Electronics engineer,34,MO,Centerview,23.49
"Daugherty, Pouros and Beahan",shopping_pos,"Engineer, communications",22,MO,Ballwin,8.37
Simonis-Prohask,misc_pos,"Geologist, engineering",66,AZ,Parks,6.14
Heathcote LLC,shopping_net,"Research officer, political party",39,WA,Conway,8.62
"McDermott, Osinski and Mo",home,"Surveyor, minerals",36,UT,Thompson,6.59
Lynch Lt,shopping_pos,Cartographer,57,ID,Mesa,8.11
Padberg-Welch,grocery_pos,"Engineer, agricultural",43,MO,Kissee Mills,115.88
Parisian and Sons,gas_transport,"Scientist, research (maths)",32,HI,Paauilo,40.08
Wiza LLC,misc_pos,"Pilot, airline",35,WY,Laramie,280.31
Huels-Nolan,gas_transport,"Engineer, agricultural",43,MO,Kissee Mills,69.3
Hermann and Sons,shopping_pos,Osteopath,39,WA,Issaquah,3.11
Predovic Inc,shopping_net,"Engineer, petroleum",86,OR,Scotts Mills,18.62
Ledner-Pfannerstill,gas_transport,Advertising account planner,41,CA,Glendale,51.38
Wuckert-Goldne,home,"Pilot, airline",35,WY,Laramie,45.42
"Casper, Hand and Zul",grocery_pos,"Civil engineer, contracting",62,CA,Santa Monica,104.64
Dach-Nade,misc_net,Colour technologist,36,OR,Bay City,25.32
Kiehn Inc,grocery_pos,Sales executive,53,CA,Laguna Hills,92.45
McKenzie-Huels,food_dining,Licensed conveyancer,23,NM,Ruidoso,4.36
Little Lt,kids_pets,Insurance broker,41,NE,Sutherland,22.28
Swift PLC,kids_pets,Educational psychologist,42,WY,Manville,33.87
Hilpert-Conroy,kids_pets,Call centre manager,65,CA,Greenview,10.43
"Roberts, Daniel and Macejkovic",kids_pets,"Pilot, airline",35,WY,Laramie,30.66
Schroeder Group,health_fitness,Building surveyor,88,AZ,Paradise Valley,23.05
"Watsica, Haag and Considine",shopping_pos,Research scientist (physical sciences),46,OR,Newberg,1054.58
"Schaefer, Maggio and Daugherty",gas_transport,Investment analyst,49,MO,Redford,67.78
"Walter, Hettinger and Kessle",personal_care,Educational psychologist,71,NM,Loving,40.57
"Stehr, Jewess and Schimmel",misc_net,"Surveyor, minerals",83,NE,Campbell,6.73
"Schroeder, Hauck and Treutel",entertainment,Planning and development surveyor,41,OR,Lake Oswego,188.3
Bechtelar-Rippin,food_dining,"Investment banker, corporate",73,MO,Unionville,73.38
Douglas-White,entertainment,Public relations account executive,84,CO,Meredith,39.59
"Douglas, DuBuque and McKenzie",travel,Metallurgist,48,NE,Carroll,452.88
"Koss, McLaughlin and Maye",food_dining,Call centre manager,65,CA,Greenview,29.3
"Runte, Green and Em",health_fitness,Museum education officer,81,OR,Kent,46.6
"Connelly, Reichert and Fritsch",gas_transport,"Engineer, petroleum",86,OR,Scotts Mills,75.57
Reilly LLC,home,Further education lecturer,35,CO,Pueblo,24.21
Gibson-Deckow,entertainment,Architect,70,MO,Mound City,54.67
"Lockman, West and Runte",grocery_pos,"Sales professional, IT",33,UT,Altonah,112.79
Bauch-Rayno,grocery_pos,Production manager,38,MO,Wheaton,86.05
"Nitzsche, Kessler and Wol",shopping_pos,Materials engineer,91,CO,Parker,5.9
Jast Lt,shopping_net,Osteopath,39,WA,Issaquah,289.63
"Schroeder, Wolff and Hermiston",travel,Land/geomatics surveyor,38,MO,Arnold,5.62
Donnelly PLC,misc_net,Systems analyst,57,OR,Lowell,8.64
Friesen Lt,health_fitness,"Surveyor, minerals",36,UT,Thompson,140.89
Howe PLC,entertainment,"Engineer, production",30,MO,Independence,76.13
Osinski Inc,personal_care,Armed forces training and education officer,64,CA,Port Costa,19.3
Hermann-Gaylo,misc_pos,"Nurse, children's",43,NE,North Loup,4.89
Hoppe-Parisian,kids_pets,"Civil engineer, contracting",68,AZ,Humboldt,52.86
Daugherty LLC,kids_pets,IT consultant,34,NM,Crownpoint,71.22
Botsford Lt,shopping_pos,Production manager,66,ID,Spirit Lake,1.84
Botsford PLC,home,Network engineer,78,NE,Valentine,104.19
Botsford Lt,shopping_pos,Museum/gallery exhibitions officer,31,CO,Colorado Springs,67.02
"Willms, Kris and Bergnaum",shopping_pos,Water engineer,48,CO,Littleton,1406.28
Stiedemann Inc,misc_pos,"Engineer, agricultural",43,MO,Kissee Mills,32.93
Schaefer Lt,kids_pets,Counselling psychologist,23,AZ,Phoenix,1.67
Koepp-Witting,grocery_pos,Special educational needs teacher,45,WA,Orient,89.38
Daugherty LLC,kids_pets,"Scientist, physiological",59,OR,Eugene,81.77
"Eichmann, Bogan and Rodriguez",gas_transport,"Education officer, museum",56,WY,Freedom,72.23
Kihn-Fritsch,food_dining,Special educational needs teacher,45,WA,Orient,34.06
Kling-Ernse,entertainment,Product designer,88,NE,Westerville,9.99
"Connelly, Reichert and Fritsch",gas_transport,Land/geomatics surveyor,38,MO,Arnold,58.36
Rodriguez Group,gas_transport,"Surveyor, minerals",83,NE,Campbell,45.89
Hudson-Ratke,grocery_pos,Materials engineer,91,CO,Parker,72.25
Kris-Kertzmann,travel,Retail merchandiser,95,OR,Sixes,8.31
"Gutmann, McLaughlin and Wiz",home,Telecommunications researcher,73,NE,Holstein,27.22
"O'Connell, Botsford and Han",home,Occupational psychologist,69,CA,Tomales,111.05
Schulist Lt,food_dining,Electronics engineer,34,MO,Centerview,1.19
"Dare, Casper and Bartoletti",kids_pets,Educational psychologist,42,WY,Manville,21.47
Botsford PLC,home,Intelligence analyst,52,ID,Meridian,24.43
Spencer-Runolfsson,misc_pos,"Lecturer, higher education",30,WY,Riverton,7.33
Bartoletti-Wunsch,gas_transport,Television/film/video producer,66,NE,Nelson,73.93
Gislason Group,misc_pos,"Therapist, horticultural",47,CA,Huntington Beach,125.96
Gibson-Deckow,entertainment,"Scientist, audiological",94,CA,Fields Landing,25.79
Osinski Inc,personal_care,Product designer,88,NE,Westerville,7.38
Strosin-Cruickshank,grocery_pos,Nature conservation officer,61,ID,Malad City,74.61
"Zemlak, Tillman and Cremin",personal_care,Naval architect,25,MO,Owensville,27.07
Weimann-Lockman,kids_pets,"Engineer, maintenance",67,OR,Gardiner,12.12
"O'Connell, Botsford and Han",home,Musician,41,WA,Burbank,79.73
Kuhic LLC,shopping_net,Information systems manager,37,WY,Fort Washakie,4.7
Reichel LLC,personal_care,Barista,49,CA,Oakland,136.9
Fadel-Hilpert,health_fitness,Chief Marketing Officer,80,WA,Colton,26.96
Klocko LLC,misc_net,Public relations account executive,84,CO,Meredith,5.51
Rodriguez Group,gas_transport,Advertising account planner,41,CA,Glendale,69.3
